Date,MA10
2023-01-03,
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,
2023-01-13,
2023-01-17,118.44299926757813
2023-01-18,120.5109992980957
2023-01-19,121.86399917602539
2023-01-20,124.17199935913087
2023-01-23,127.24099960327149
2023-01-24,129.6529998779297
2023-01-25,132.21099929809571
2023-01-26,135.91599960327147
2023-01-27,141.34999923706056
2023-01-30,145.7759994506836
2023-01-31,149.9489990234375
2023-02-01,155.21199951171874
2023-02-02,161.3220001220703
2023-02-03,166.97799987792968
2023-02-06,172.0789993286133
2023-02-07,177.37099914550782
2023-02-08,183.05699920654297
2023-02-09,187.76199951171876
2023-02-10,189.66100006103517
2023-02-13,192.45899963378906
2023-02-14,196.06199951171874
2023-02-15,199.34499969482422
2023-02-16,200.7219985961914
2023-02-17,202.55499877929688
2023-02-21,202.81599884033204
2023-02-22,203.22099914550782
2023-02-23,203.29900054931642
2023-02-24,202.25500030517577
2023-02-27,203.3290008544922
2023-02-28,204.43600158691407
2023-03-01,203.78800201416016
2023-03-02,201.4540008544922
2023-03-03,201.02900085449218
2023-03-06,199.5790008544922
2023-03-07,198.61300201416014
2023-03-08,196.727001953125
2023-03-09,193.81200103759767
2023-03-10,191.46800079345704
2023-03-13,188.1529998779297
2023-03-14,185.90799865722656
2023-03-15,183.67599792480468
2023-03-16,182.9989990234375
2023-03-17,181.23300018310547
2023-03-20,180.1770004272461
2023-03-21,181.16399993896485
2023-03-22,182.0789993286133
2023-03-23,184.00899963378907
2023-03-24,185.70599975585938
2023-03-27,187.43899993896486
2023-03-28,188.03200073242186
2023-03-29,189.3750015258789
2023-03-30,190.49000091552733
2023-03-31,193.2230010986328
2023-04-03,194.3750015258789
2023-04-04,193.8750015258789
2023-04-05,193.31200256347657
2023-04-06,192.59600219726562
2023-04-10,192.0060012817383
2023-04-11,191.50400085449218
2023-04-12,190.63899993896484
2023-04-13,189.84099884033202
2023-04-14,188.81299896240233
2023-04-17,186.7709976196289
2023-04-18,185.7249969482422
2023-04-19,184.52599639892577
2023-04-20,182.2729965209961
2023-04-21,180.27499694824218
2023-04-24,178.07899780273436
2023-04-25,175.4669982910156
2023-04-26,172.78799896240236
2023-04-27,170.21699981689454
2023-04-28,168.14799957275392
2023-05-01,165.6270004272461
2023-05-02,163.22700042724608
2023-05-03,161.2290008544922
2023-05-04,161.05
2023-05-05,161.5479995727539
2023-05-08,162.4719985961914
2023-05-09,163.31999816894532
2023-05-10,164.7989974975586
2023-05-11,165.98799743652344
2023-05-12,166.35499725341796
2023-05-15,166.80699768066407
2023-05-16,167.4279983520508
2023-05-17,168.75299835205078
2023-05-18,170.3219985961914
2023-05-19,171.3299987792969
